,id,codigo_curriculo,codigo_ingresso,periodo_ingresso,forma_ingresso,codigo_evasao,forma_evasao,periodo_evasao,evadiu_periodo,forma_saida,acao_afirmativa,tipo_reserva_vagas,forma_reserva_vagas,sexo,codigo_cor,nome_cor,idade_ingresso,idade_evasao,tipo_ensino_medio,ensino_medio,apv_media_geral
3546,L204437,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,3,Parda,19,,2.0,Somente escola pública,582.02
3541,W368283,2017,18,2019.2,SISU,21,CANCELADO REPROVOU TODAS POR FALTAS,2020.1,2.0,Evadido,Sim,4,Escola Cor,Feminino,3,Parda,27,28.0,2.0,Somente escola pública,598.26
3494,O069026,2017,6,2019.2,REOPCAO,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,19,,1.0,Somente escola privada,
3358,S165161,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,32,,1.0,Somente escola privada,684.24
3377,J394033,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,24,,2.0,Somente escola pública,635.34
3383,H368652,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,19,,2.0,Somente escola pública,636.42
3388,B390851,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,22,,2.0,Somente escola pública,636.08
3046,B355210,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,20,,2.0,Somente escola pública,731.92
3164,O270059,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Sim,8,Escola Cor Deficiencia,Feminino,3,Parda,34,,2.0,Somente escola pública,458.1
3274,C086389,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,17,,1.0,Somente escola privada,689.68
3194,K373158,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Sim,5,Escola,Feminino,1,Branca,19,,2.0,Somente escola pública,704.94
3275,A104133,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,21,,1.0,Somente escola privada,688.12
3065,W038755,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,19,,1.0,Somente escola privada,700.28
3089,Q344076,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,18,,2.0,Somente escola pública,649.42
3066,N239951,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,19,,1.0,Somente escola privada,699.04
3282,K314872,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,18,,1.0,Somente escola privada,692.34
3083,N310723,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,18,,1.0,Somente escola privada,709.22
3166,Z384367,2017,18,2019.2,SISU,0,REGULAR,0.0,,Regular,Sim,3,Escola Renda,Feminino,1,Branca,17,,2.0,Somente escola pública,689.4
3652,W127829,2017,18,2019.1,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,21,,2.0,Somente escola pública,672.52
3653,E327596,2017,18,2019.1,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,19,,2.0,Somente escola pública,689.32
3657,Z303573,2017,18,2019.1,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,18,,2.0,Somente escola pública,679.18
3634,Z311385,2017,18,2019.1,SISU,8,CANCELAMENTO P/ SOLICITACAO ALUNO,2019.1,1.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,18.0,1.0,Somente escola privada,728.54
3572,Q248578,2017,18,2019.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,,1.0,Somente escola privada,777.18
3592,J328523,2017,18,2019.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,18,,1.0,Somente escola privada,756.98
3594,H076666,2017,18,2019.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,17,,2.0,Somente escola pública,754.7
3624,C395520,2017,18,2019.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,,1.0,Somente escola privada,737.36
3733,F294211,2017,18,2019.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,,1.0,Somente escola privada,724.52
3734,P298214,2017,18,2019.1,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,18,,2.0,Somente escola pública,654.56
3741,D322918,2017,18,2019.1,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,3,Parda,21,,2.0,Somente escola pública,659.72
3743,U130254,2017,18,2019.1,SISU,0,REGULAR,0.0,,Regular,Sim,5,Escola,Feminino,3,Parda,19,,2.0,Somente escola pública,671.1
3746,Y370094,2017,18,2019.1,SISU,0,REGULAR,0.0,,Regular,Sim,3,Escola Renda,Feminino,1,Branca,24,,2.0,Somente escola pública,676.32
3420,V055242,2017,18,2018.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,27,,1.0,Somente escola privada,663.92
3272,K112260,2017,18,2018.2,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,19,,2.0,Somente escola pública,665.02
3526,O019381,2017,18,2018.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,19,,1.0,Somente escola privada,645.36
3449,T344632,2017,18,2018.2,SISU,0,REGULAR,0.0,,Regular,Sim,3,Escola Renda,Feminino,1,Branca,19,,2.0,Somente escola pública,634.64
3495,D316347,2017,18,2018.2,SISU,0,REGULAR,0.0,,Regular,Sim,5,Escola,Feminino,1,Branca,20,,2.0,Somente escola pública,624.98
3529,F032561,2017,18,2018.2,SISU,22,CANCELADO 3 REPROV MESMA DISCIPLINA,2020.1,4.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,19,21.0,1.0,Somente escola privada,644.98
3431,F084337,2017,18,2018.2,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,20,,2.0,Somente escola pública,612.48
3523,A286074,2017,18,2018.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,19,,1.0,Somente escola privada,646.52
3445,Z202822,2017,18,2018.2,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,3,Parda,26,,2.0,Somente escola pública,597.76
3440,Q214674,2017,18,2018.2,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,3,Parda,18,,2.0,Somente escola pública,601.94
3647,B229526,2017,18,2018.2,SISU,4,CANCELAMENTO POR ABANDONO,2019.2,3.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,19.0,1.0,Somente escola privada,642.44
3685,G128872,2017,16,2018.2,VESTIBULAR / ENEM,22,CANCELADO 3 REPROV MESMA DISCIPLINA,2020.1,4.0,Evadido,Sim,7,Escola Renda Deficiencia,Feminino,3,Parda,30,32.0,2.0,Somente escola pública,
3078,E033283,2017,18,2018.1,SISU,21,CANCELADO REPROVOU TODAS POR FALTAS,2018.2,2.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,4,Amarela,20,20.0,1.0,Somente escola privada,720.16
3073,U222059,2017,18,2018.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,18,,1.0,Somente escola privada,720.58
3107,X280405,2017,18,2018.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,18,,1.0,Somente escola privada,685.42
3167,N241327,2017,18,2018.1,SISU,4,CANCELAMENTO POR ABANDONO,2018.2,2.0,Evadido,Sim,6,Escola Renda Cor Deficiencia,Feminino,3,Parda,23,23.0,2.0,Somente escola pública,487.24
3093,V179666,2017,18,2018.1,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,18,,2.0,Somente escola pública,669.36
3095,H020105,2017,18,2018.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,,1.0,Somente escola privada,696.7
3096,O235796,2017,18,2018.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,20,,1.0,Somente escola privada,696.62
3097,Z318563,2017,18,2018.1,SISU,21,CANCELADO REPROVOU TODAS POR FALTAS,2019.1,3.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,19,20.0,1.0,Somente escola privada,693.74
3555,G281910,2017,18,2018.1,SISU,22,CANCELADO 3 REPROV MESMA DISCIPLINA,2020.1,5.0,Evadido,Sim,4,Escola Cor,Feminino,3,Parda,22,24.0,2.0,Somente escola pública,635.32
3697,Q025762,2017,6,2018.1,REOPCAO,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,21,,1.0,Somente escola privada,
3668,I350435,2017,18,2018.1,SISU,0,REGULAR,0.0,,Regular,Sim,3,Escola Renda,Feminino,3,Parda,18,,2.0,Somente escola pública,622.28
2434,U232071,1999,18,2017.2,SISU,1,GRADUADO,2018.1,2.0,Graduado,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,24,25.0,1.0,Somente escola privada,645.14
3036,P085250,2017,18,2017.2,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,36,,2.0,Somente escola pública,575.54
3374,M018172,2017,18,2017.2,SISU,21,CANCELADO REPROVOU TODAS POR FALTAS,2020.1,6.0,Evadido,Sim,2,Escola Renda Cor,Feminino,3,Parda,20,23.0,2.0,Somente escola pública,586.82
2235,K234722,1999,18,2017.2,SISU,4,CANCELAMENTO POR ABANDONO,2018.1,2.0,Evadido,Sim,3,Escola Renda,Feminino,4,Amarela,21,22.0,2.0,Somente escola pública,624.5
1841,K254300,1999,18,2017.2,SISU,1,GRADUADO,2019.2,5.0,Graduado,Sim,3,Escola Renda,Feminino,4,Amarela,25,27.0,2.0,Somente escola pública,602.72
2232,T034628,1999,18,2017.2,SISU,1,GRADUADO,2018.1,2.0,Graduado,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,29,30.0,1.0,Somente escola privada,658.76
3717,G290447,2017,18,2017.2,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,2,Preta,32,,2.0,Somente escola pública,591.62
3713,C251883,2017,18,2017.2,SISU,14,CANCELADO NOVO INGRESSO OUTRO CURSO,2019.2,5.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,19,21.0,1.0,Somente escola privada,638.46
3016,N215224,2017,18,2017.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,17,,1.0,Somente escola privada,690.48
3015,Y375296,2017,18,2017.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,19,,2.0,Somente escola pública,705.76
3505,R267285,2017,18,2017.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,18,,1.0,Somente escola privada,655.3
3209,V253849,2017,18,2017.2,SISU,21,CANCELADO REPROVOU TODAS POR FALTAS,2018.2,3.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,2,Preta,21,22.0,2.0,Somente escola pública,662.6
3508,L013468,2017,18,2017.2,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,3,Parda,19,,2.0,Somente escola pública,616.6
3230,V151705,2017,18,2017.2,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,3,Parda,20,,2.0,Somente escola pública,625.8
3395,P181449,2017,18,2017.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,19,,1.0,Somente escola privada,645.2
3228,U305420,2017,18,2017.2,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,3,Parda,17,,2.0,Somente escola pública,632.14
3391,T283947,2017,18,2017.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,18,,1.0,Somente escola privada,645.38
3223,K140612,2017,18,2017.2,SISU,0,REGULAR,0.0,,Regular,Sim,3,Escola Renda,Feminino,3,Parda,17,,2.0,Somente escola pública,631.0
3145,T318624,2017,18,2017.1,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,2,Preta,19,,2.0,Somente escola pública,626.48
2997,B252909,2017,18,2017.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,20,,1.0,Somente escola privada,716.08
3129,G065557,2017,18,2017.1,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,20,,2.0,Somente escola pública,634.16
3154,E067824,2017,18,2017.1,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,3,Parda,18,,2.0,Somente escola pública,652.76
3153,I137964,2017,18,2017.1,SISU,0,REGULAR,0.0,,Regular,Sim,5,Escola,Feminino,1,Branca,19,,2.0,Somente escola pública,702.0
3151,L347988,2017,18,2017.1,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,3,Parda,20,,2.0,Somente escola pública,669.36
3149,Y268656,2017,18,2017.1,SISU,8,CANCELAMENTO P/ SOLICITACAO ALUNO,2019.1,5.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,20.0,1.0,Somente escola privada,697.84
3142,S059093,2017,18,2017.1,SISU,0,REGULAR,0.0,,Regular,Sim,5,Escola,Feminino,1,Branca,18,,2.0,Somente escola pública,712.08
3607,S105093,2017,18,2017.1,SISU,8,CANCELAMENTO P/ SOLICITACAO ALUNO,2020.1,7.0,Evadido,Sim,3,Escola Renda,Feminino,1,Branca,19,22.0,2.0,Somente escola pública,636.8
3455,H351275,2017,18,2017.1,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,2,Preta,17,,2.0,Somente escola pública,619.12
3331,L148517,2017,18,2017.1,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,2,Preta,19,,2.0,Somente escola pública,691.3
3295,Y236834,2017,18,2017.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,,1.0,Somente escola privada,722.82
3305,I150784,2017,18,2017.1,SISU,12,CANCELADO NOVO INGRESSO MESMO CURSO,2019.2,6.0,Reingresso,Sim,2,Escola Renda Cor,Feminino,3,Parda,20,22.0,2.0,Somente escola pública,637.44
2510,N259412,1999,18,2016.2,SISU,22,CANCELADO 3 REPROV MESMA DISCIPLINA,2018.1,4.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,20,22.0,1.0,Somente escola privada,635.16
2239,V351549,1999,18,2016.2,SISU,1,GRADUADO,2019.1,6.0,Graduado,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,26,29.0,4.0,"Pública e privada, tendo ficado mais tempo em escola privada",658.7
2236,U005921,1999,18,2016.2,SISU,8,CANCELAMENTO P/ SOLICITACAO ALUNO,2017.2,3.0,Evadido,Sim,5,Escola,Feminino,1,Branca,27,28.0,2.0,Somente escola pública,639.02
3176,G388969,2017,18,2016.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,20,,1.0,Somente escola privada,652.06
3179,T091352,2017,18,2016.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,,1.0,Somente escola privada,658.16
2253,X185932,1999,18,2016.2,SISU,21,CANCELADO REPROVOU TODAS POR FALTAS,2017.1,2.0,Evadido,Sim,2,Escola Renda Cor,Feminino,3,Parda,19,20.0,2.0,Somente escola pública,607.88
2189,L256449,1999,18,2016.2,SISU,8,CANCELAMENTO P/ SOLICITACAO ALUNO,2019.1,6.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,2,Preta,20,23.0,1.0,Somente escola privada,664.8
2159,O319144,1999,18,2016.2,SISU,1,GRADUADO,2019.2,7.0,Graduado,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,24,27.0,1.0,Somente escola privada,653.44
1844,O198392,1999,18,2016.2,SISU,21,CANCELADO REPROVOU TODAS POR FALTAS,2017.1,2.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,32,33.0,1.0,Somente escola privada,725.08
3071,N253814,2017,18,2016.2,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,3,Parda,18,,2.0,Somente escola pública,676.34
2454,M106175,1999,18,2016.2,SISU,22,CANCELADO 3 REPROV MESMA DISCIPLINA,2018.1,4.0,Evadido,Sim,4,Escola Cor,Feminino,3,Parda,20,22.0,2.0,Somente escola pública,493.74
3262,L092276,2017,18,2016.2,SISU,4,CANCELAMENTO POR ABANDONO,2019.2,7.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,23,26.0,1.0,Somente escola privada,638.66
3250,D246725,2017,18,2016.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,20,,1.0,Somente escola privada,648.34
3338,J387431,2017,18,2016.2,SISU,22,CANCELADO 3 REPROV MESMA DISCIPLINA,2019.2,7.0,Evadido,Sim,2,Escola Renda Cor,Feminino,2,Preta,21,24.0,2.0,Somente escola pública,591.7
3349,I277154,2017,18,2016.2,SISU,0,REGULAR,0.0,,Regular,Sim,5,Escola,Feminino,3,Parda,18,,2.0,Somente escola pública,586.28
3290,N097373,2017,18,2016.2,SISU,0,REGULAR,0.0,,Regular,Sim,5,Escola,Feminino,1,Branca,17,,2.0,Somente escola pública,608.18
3264,P014469,2017,18,2016.2,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,17,,2.0,Somente escola pública,592.52
3267,L300711,2017,18,2016.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,17,,1.0,Somente escola privada,643.7
3229,M186041,2017,18,2016.2,SISU,0,REGULAR,0.0,,Regular,Sim,3,Escola Renda,Feminino,1,Branca,24,,2.0,Somente escola pública,623.12
3477,Q010882,2017,18,2016.2,SISU,22,CANCELADO 3 REPROV MESMA DISCIPLINA,2020.1,8.0,Evadido,Sim,3,Escola Renda,Feminino,1,Branca,23,27.0,2.0,Somente escola pública,574.68
3475,F140343,2017,18,2016.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,,1.0,Somente escola privada,632.34
3473,P002815,2017,18,2016.2,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,20,,2.0,Somente escola pública,633.74
3189,M386191,2017,18,2016.2,SISU,0,REGULAR,0.0,,Regular,Sim,2,Escola Renda Cor,Feminino,3,Parda,21,,2.0,Somente escola pública,603.46
3055,Q230160,2017,18,2016.2,SISU,21,CANCELADO REPROVOU TODAS POR FALTAS,2019.2,7.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,18,21.0,1.0,Somente escola privada,695.72
3038,W128592,2017,18,2016.2,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,3,Parda,19,,2.0,Somente escola pública,630.28
3416,G194848,2017,18,2016.2,SISU,22,CANCELADO 3 REPROV MESMA DISCIPLINA,2020.1,8.0,Evadido,Sim,4,Escola Cor,Feminino,3,Parda,21,25.0,2.0,Somente escola pública,516.94
2959,W148456,1999,18,2016.1,SISU,12,CANCELADO NOVO INGRESSO MESMO CURSO,2017.2,4.0,Reingresso,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,23,24.0,1.0,Somente escola privada,691.02
2958,O083699,1999,18,2016.1,SISU,4,CANCELAMENTO POR ABANDONO,2017.2,4.0,Evadido,Sim,2,Escola Renda Cor,Feminino,3,Parda,22,23.0,2.0,Somente escola pública,639.02
2952,H331553,1999,18,2016.1,SISU,8,CANCELAMENTO P/ SOLICITACAO ALUNO,2016.2,2.0,Evadido,Sim,4,Escola Cor,Feminino,3,Parda,20,20.0,2.0,Somente escola pública,662.24
2948,C149790,1999,18,2016.1,SISU,4,CANCELAMENTO POR ABANDONO,2016.2,2.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,18,18.0,1.0,Somente escola privada,720.04
1358,Q175839,1999,18,2016.1,SISU,21,CANCELADO REPROVOU TODAS POR FALTAS,2016.2,2.0,Evadido,Sim,2,Escola Renda Cor,Feminino,2,Preta,28,28.0,2.0,Somente escola pública,613.78
1690,Y365007,1999,18,2016.1,SISU,1,GRADUADO,2018.2,6.0,Graduado,Sim,5,Escola,Feminino,1,Branca,20,22.0,2.0,Somente escola pública,614.82
2990,W062440,2017,18,2016.1,SISU,22,CANCELADO 3 REPROV MESMA DISCIPLINA,2018.2,6.0,Evadido,Sim,3,Escola Renda,Feminino,1,Branca,17,19.0,2.0,Somente escola pública,634.06
3916,D303374,2017,18,2016.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,,1.0,Somente escola privada,747.3
3905,I051131,2017,18,2016.1,SISU,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,18,,1.0,Somente escola privada,744.9
3940,X149362,2017,18,2016.1,SISU,0,REGULAR,0.0,,Regular,Sim,4,Escola Cor,Feminino,3,Parda,18,,2.0,Somente escola pública,672.4
2915,J082289,1999,18,2015.2,SISU,8,CANCELAMENTO P/ SOLICITACAO ALUNO,2015.2,1.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,18.0,1.0,Somente escola privada,627.14
2938,T395007,1999,18,2015.2,SISU,8,CANCELAMENTO P/ SOLICITACAO ALUNO,2016.2,3.0,Evadido,Sim,2,Escola Renda Cor,Feminino,2,Preta,20,21.0,2.0,Somente escola pública,549.48
2927,J051822,1999,18,2015.2,SISU,4,CANCELAMENTO POR ABANDONO,2016.1,2.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,28,29.0,1.0,Somente escola privada,626.62
2939,S228571,1999,18,2015.2,SISU,4,CANCELAMENTO POR ABANDONO,2016.1,2.0,Evadido,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,22,23.0,1.0,Somente escola privada,618.48
2911,M030924,1999,18,2015.2,SISU,21,CANCELADO REPROVOU TODAS POR FALTAS,2016.1,2.0,Evadido,Sim,4,Escola Cor,Feminino,3,Parda,22,23.0,2.0,Somente escola pública,610.96
3937,J284536,2017,18,2015.2,SISU,1,GRADUADO,2019.2,9.0,Graduado,Não,1,Sem Reserva De Vagas,Feminino,1,Branca,18,22.0,1.0,Somente escola privada,614.96
3921,G188842,2017,6,2015.2,REOPCAO,0,REGULAR,0.0,,Regular,Não,1,Sem Reserva De Vagas,Feminino,3,Parda,23,,1.0,Somente escola privada,
